"NYA194405050",68,"$Runner overran 3rd and was tagged out","FILENAME_TX","LINE_NUMBER_CT"
"NYA194405060",70,"Ryba comes in with 2-0 count","1944NYA.EVA.regular.comment.csv",2
"NYA194405120",71,"$Jimmy Outlaw injured crashing into wall","1944NYA.EVA.regular.comment.csv",3
"NYA194405142",52,"Rosar leaves game to catch train back to Cleveland for his war job","1944NYA.EVA.regular.comment.csv",4
"NYA194405200",43,"ej,shirt101,P,summb901,Balk call $Browns Shirley was ejected from bench by 1B Umpire Summers for arguing balk call","1944NYA.EVA.regular.comment.csv",5
"NYA194406172",71,"End of pbp account, rest deduced","1944NYA.EVA.regular.comment.csv",6
"NYA194406211",54,"$Ground ball to 3B who tagged runner","1944NYA.EVA.regular.comment.csv",7
"NYA194407010",3,"$Schalk passed Moses on the base path","1944NYA.EVA.regular.comment.csv",8
"NYA194407010",70,"$Hemsley pulled up between 1st and 2nd with a torn tendon in back of his left knee and barely made it to 2nd and had to be helped off the field","1944NYA.EVA.regular.comment.csv",9
"NYA194407022",7,"SB may have been with Clarke batting","1944NYA.EVA.regular.comment.csv",10
"NYA194407022",44,"Lindell's left elbow hurt from being hit by pitch in 3rd","1944NYA.EVA.regular.comment.csv",11
"NYA194407022",46,"Marting pulls muscle in left leg","1944NYA.EVA.regular.comment.csv",12
"NYA194407022",79,"Clarke's throw to second is late","1944NYA.EVA.regular.comment.csv",13
"NYA194407022",83,"Castino's throw hits Stainback's back","1944NYA.EVA.regular.comment.csv",14
"NYA194407042",41,"$31 minute rain delay at this point","1944NYA.EVA.regular.comment.csv",15
"NYA194407042",47,"pbp account ends here, rest deduced","1944NYA.EVA.regular.comment.csv",16
"NYA194407060",60,"Schlueter limps off field after Lindell's foul hits him","1944NYA.EVA.regular.comment.csv",17
"NYA194407091",58,"$Trout overruns second and is spiked, tagged by Milosevich","1944NYA.EVA.regular.comment.csv",18
"NYA194407091",60,"$Trout is tired from running bases in top of inning, covering 1st","1944NYA.EVA.regular.comment.csv",19
"NYA194407150",29,"$Wagner injured shoulder in collision with Grimes, left game","1944NYA.EVA.regular.comment.csv",20
"NYA194408132",5,"Unknown error by pitcher Borowy, probably an errant pick-off","1944NYA.EVA.regular.comment.csv",21
"NYA194408140",34,"Attempting to sacrifice,Humphries pops into a DP","1944NYA.EVA.regular.comment.csv",22
"NYA194408170",35,"Indians C Rosar injures finger, replaced by Susce","1944NYA.EVA.regular.comment.csv",23
"NYA194408170",78,"Last AB and game in 1944 for Hemsley, entered service.","1944NYA.EVA.regular.comment.csv",24
"NYA194408180",44,"Seerey probably tried to steal 3rd and would have been out except for Grimes error. No caught stealing at this time.","1944NYA.EVA.regular.comment.csv",25
"NYA194408180",69,"ej,lindj101,P,stewe901,Balls and strikes $Lindell ejected by HP umpire Stewart for arguing called third strike","1944NYA.EVA.regular.comment.csv",26
"NYA194408190",9,"ej,smita104,P,mcgob901,Bench jockeying ej,suscg102,P,mcgob901,Bench jockeying $Indians Susce and Smith ejected by HP umpire McGowan from bench during Crosetti's at bat","1944NYA.EVA.regular.comment.csv",27
"NYA194408201",45,"Lindell injured by York line single, leaves game with bone bruise.","1944NYA.EVA.regular.comment.csv",28
"NYA194408202",34,"Garbark out, hit by batted ball by Stirnweiss","1944NYA.EVA.regular.comment.csv",29
"NYA194409010",54,"Paul Waner makes his AL debut","1944NYA.EVA.regular.comment.csv",30
"NYA194409010",64,"$Metheny runs ball back toward first and makes a lob throw allowing Myatt who had rounded third to score","1944NYA.EVA.regular.comment.csv",31
"NYA194409010",71,"$Grimes scores as SS Sullivan does not go after ball","1944NYA.EVA.regular.comment.csv",32
"NYA194409010",79,"End of scorecard account, top of 8th based on Washington Post story and rest of game is deduced","1944NYA.EVA.regular.comment.csv",33
