"PHA195304160",47,"$Mel Parnell's arm never loosened up on the cold day","FILENAME_TX","LINE_NUMBER_CT"
"PHA195304170",6,"$Billy Goodman hit Joe DeMaestri with throw in the rundown","1953PHA.EVA.regular.comment.csv",2
"PHA195304170",62,"ej,whits103,P,berrc103,Fighting with Allie Clark ej,clara102,P,berrc103,Fighting with Sammy White $Allie Clark slid into Sammy White and both players came up fighting; both benches cleared; Clark and White ejected by HP umpire Charlie Berry","1953PHA.EVA.regular.comment.csv",3
"PHA195304191",11,"ej,woodg101,P,hurle901,Called third strike Gene Woodling ejected by HP umpire Eddie Hurley","1953PHA.EVA.regular.comment.csv",4
"PHA195304192",30,"$Jim McDonald deflected Ray Murray's line drive to Andy Carey","1953PHA.EVA.regular.comment.csv",5
"PHA195305090",3,"to match daily/TSN/NYT, arbitrary 5/FL to 2/FL","1953PHA.EVA.regular.comment.csv",6
"PHA195305101",55,"$first hit and runner allowed by Bob Porterfield","1953PHA.EVA.regular.comment.csv",7
"PHA195305120",43,"to match daily/TSN/NYT, arbitrary 8 to 9","1953PHA.EVA.regular.comment.csv",8
"PHA195305120",57,"to match daily/NYT, arbitrary 63 to 43","1953PHA.EVA.regular.comment.csv",9
"PHA195305120",58,"to match daily/NYT, arbitrary 63 to 53","1953PHA.EVA.regular.comment.csv",10
"PHA195305130",27,"to match daily/NYT/TSN, arbitrary 8 to 9","1953PHA.EVA.regular.comment.csv",11
"PHA195305130",35,"to match daily/TSN/NYT, arbitrary 13 to 63","1953PHA.EVA.regular.comment.csv",12
"PHA195305171",46,"to match daily/NYT/TSN, arbitrary 8 to 7","1953PHA.EVA.regular.comment.csv",13
"PHA195305270",34,"$the ball rolled into the bullpen","1953PHA.EVA.regular.comment.csv",14
"PHA195305290",22,"to matchcdaily/NYT/TSN, arbitrary 43 to 13","1953PHA.EVA.regular.comment.csv",15
"PHA195305290",23,"to matchcdaily/NYT/TSN, arbitrary 43 to 43","1953PHA.EVA.regular.comment.csv",16
"PHA195306160",75,"ej,tiptj101,P,papaj901,Balls and strikes ej,rosea101,P,papaj901,Balls and strikes Al Rosen and Joe Tipton ejected by HP umpire Joe Paparella","1953PHA.EVA.regular.comment.csv",17
"PHA195306190",55,"to match daily/NYT/TSN, arbitrary 8 to 9","1953PHA.EVA.regular.comment.csv",18
"PHA195306190",63,"to match daily/TSN/NYT, arbitrary 43 to 53","1953PHA.EVA.regular.comment.csv",19
"PHA195306211",44,"to match daily/TSN, arbitrary 8 to 9","1953PHA.EVA.regular.comment.csv",20
"PHA195306270",32,"to match daily/NYT/TSN, arbitrary 4/P to 3/P","1953PHA.EVA.regular.comment.csv",21
"PHA195307010",1,"DWS: bogus FLE5 but Babe needs one this game","1953PHA.EVA.regular.comment.csv",22
"PHA195307050",4,"$Carmen Mauro decoyed Dick Gernert","1953PHA.EVA.regular.comment.csv",23
"PHA195307050",13,"$28 minute first inning","1953PHA.EVA.regular.comment.csv",24
"PHA195307050",24,"to match daily/NYT/TSN, arbitrary 4/L to 43","1953PHA.EVA.regular.comment.csv",25
"PHA195307050",52,"conjecture from bottom-6 to end","1953PHA.EVA.regular.comment.csv",26
"PHA195307061",13,"53-minute rain delay during 2nd inning","1953PHA.EVA.regular.comment.csv",27
"PHA195307061",27,"Off top of LCF wall","1953PHA.EVA.regular.comment.csv",28
"PHA195307061",28,"Into upper LF stands","1953PHA.EVA.regular.comment.csv",29
"PHA195307061",30,"Into LF grandstand","1953PHA.EVA.regular.comment.csv",30
"PHA195307061",51,"Over the roof of LCF stands which were 400' from the plate, 65' high, and 60' deep.","1953PHA.EVA.regular.comment.csv",31
"PHA195307061",57,"Infield hit","1953PHA.EVA.regular.comment.csv",32
"PHA195307061",74,"Into upper LF stands","1953PHA.EVA.regular.comment.csv",33
"PHA195307070",33,"to match daily/NYT, arbitrary 53 to 54","1953PHA.EVA.regular.comment.csv",34
"PHA195308050",101,"ej,babel101,P,duffj901,Balls and strikes ej,dykej101,M,duffj901,Balls and strikes Loren Babe and Athletics Manager Jimmy Dykes ejected by HP umpire Jim Duffy","1953PHA.EVA.regular.comment.csv",35
"PHA195308092",93,"$game called for curfew","1953PHA.EVA.regular.comment.csv",36
"PHA195308130",58,"to match daily/NYT/TSN, arbitrary 7/F to 8","1953PHA.EVA.regular.comment.csv",37
"PHA195308171",3,"to match daily/NYT/TSN, arbitrary 8 to 7","1953PHA.EVA.regular.comment.csv",38
"PHA195308171",9,"to match daily/NYT, arbitrary 43 to 2","1953PHA.EVA.regular.comment.csv",39
"PHA195308171",10,"to match daily/NYT, arbitrary 43 to 6","1953PHA.EVA.regular.comment.csv",40
"PHA195308171",31,"to match daily/NYT/TSN, arbitrary 3/FL to 4/FL","1953PHA.EVA.regular.comment.csv",41
"PHA195308171",65,"to match daily/NYT/TSN, arbitrary 7 to 6","1953PHA.EVA.regular.comment.csv",42
"PHA195308172",26,"to match daily/NYT/TSN, arbitrary 3/P to 43","1953PHA.EVA.regular.comment.csv",43
"PHA195308172",27,"to match daily/NYT/TSN, arbitrary 3/L to 53","1953PHA.EVA.regular.comment.csv",44
"PHA195308172",62,"to match daily/NYT/TSN, arbitrary 63 to 53","1953PHA.EVA.regular.comment.csv",45
"PHA195309190",51,"to match daily/NYT/TSN. arbitrary 53 to 3/G","1953PHA.EVA.regular.comment.csv",46
"PHA195309202",1,"to match daily/NYT, arbitrary 63 to 53","1953PHA.EVA.regular.comment.csv",47
"PHA195309202",11,"to match daily/NYT, arbitrary 9 to 8","1953PHA.EVA.regular.comment.csv",48
